,title,brand,model,price,os,cellular
0,"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Without Charger",Samsung,Samsung Galaxy M33 5G,"₹15,999.00",Android 12.0,5G
1,"Tecno Spark 9 (Infinity Black, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor",Tecno,Spark 9,"₹7,799.00",HiOS 8.6 based on Android 12,"4G,3G,2G"
2,"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",Samsung,Samsung M04,"₹8,749.00",Android 12.0,4G
3,"realme narzo 50 (Speed Black, 6GB RAM+128GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display",realme,narzo 50,"₹13,499.00",Android 11.0,LTE
4,"Nokia C12 Android 12 (Go Edition) Smartphone, All-Day Battery, 4GB RAM (2GB RAM + 2GB Virtual RAM) + 64GB Capacity | Light Mint",Nokia,Nokia C12,"₹5,699.00",Android 12.0,"2G, 3G, 4G"
5,realme narzo 50i Prime (Mint Green 3GB RAM+32GB Storage) Octa-core Processor | 5000 mAh Battery,Realme,Realme narzo 50i Prime,"₹6,899.00",Android 11.0,LTE
6,"realme narzo 50 (Speed Black, 6GB RAM+128GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display",Realme,Narzo 50,"₹13,499.00",Android 11.0,LTE
7,"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",Redmi,Redmi A1,"₹5,699.00",Windows 11 Home,4G
8,"realme narzo 50i (Carbon Black, 4GB RAM+64GB Storage) Octa Core Processor | 6.5"" inch Large Display",realme,realme narzo 50i,"₹7,999.00",Android 11.0,4G
9,EGOTUDE Silicone Soft Case Camera Protection Microfiber Lining Back Cover for iPhone 14 Pro Max (Deep Purple),EGOTUDE,,₹279.00,,
10,Amozo Shockproof Liquid Silicone Designed for iPhone 14 / iPhone 13 Back Cover Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection(Silicone|Black),Amozo,,₹284.00,,
11,"Elzzi Microfiber Logo Cut Cover Compatible for iPhone 13 Case Cushion Liquid Soft Silicone Gel Rubber Phone Cases Non-Slip Full Body Protective Shockproof Back Cover 6.1 inch, Mist Blue",Elzzi,,₹378.00,,
12,"DIZORO Liquid Silicone Compatible for iPhone 14 Case Gel Rubber with Microfiber Lining Non-Slip Full Body Protective Shockproof Back Cover (Lilac, 6.1 inch)",DIZORO,,₹284.05,,
13,Redmi Note 12 5G Mystique Blue 4GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,Redmi,Redmi Note 12 5G,"₹16,999.00",MIUI 13,5G
14,"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",Samsung,Samsung M04,"₹7,749.00",Android 12.0,4G
